timestamp,open,high,low,close,volume
1716375600,70222.797,70336.5,69767.703,69767.703,3460.8411
1716379200,69767.703,70142.203,69539.398,69684.602,4384.9351
1716382800,69684.602,69950.797,69466,69620.898,4257.687
1716386400,69620.898,70234.797,69475.5,70145.602,7055.4492
1716390000,70145.602,70658,69971,70481.602,6055.3848
1716393600,70481.602,70713,70199,70259.203,3705.0549
1716397200,70259.203,70474,69644.602,69878.797,5443.1719
1716400800,69878.797,69923.602,69251.703,69616.297,6775.356
1716404400,69616.297,69842.703,69466.797,69670,2185.5449
1716408000,69670,70013.797,69400.102,69472.203,3502.6531
1716411600,69472.203,69733.203,68812.398,69533.5,7136.3179
1716415200,69533.5,69599.898,69080.102,69191,3103.7119
1716418800,69191,69277,69061.898,69210.102,1813.2061
1716422400,69210.102,69690.398,69210.102,69544.898,2441.324
1716426000,69544.898,69666.602,69310,69530.703,1518.614
1716429600,69530.703,69610,69408.898,69559.102,1063.24
1716433200,69559.102,69575.797,69356,69496.102,1366.657
1716436800,69496.102,69649.102,69451.297,69604.5,1117.588
1716440400,69604.5,69618,69382.102,69531,1442.1899
1716444000,69531,69756.602,69424.203,69608.797,1757.2321
1716447600,69608.797,69899,69505.102,69773.398,2539.814
1716451200,69773.398,69897,69626.102,69744.102,2181.616
1716454800,69744.102,69896,69611,69691.602,2442.363
1716458400,69691.602,69847.797,69568.898,69591.297,1506.979
1716462000,69591.297,70098.297,69591.297,70013.602,4594.062
1716465600,70013.602,70159.398,69001.203,69464.102,8095.3359
1716469200,69464.102,69605.398,67674.602,68056.102,22596.428
1716472800,68056.102,68375.703,67631.703,67800.797,12890.338
1716476400,67800.797,68363.703,67760,68129.5,7113.8911
1716480000,68129.5,68238.398,67837.602,67870,3031.9819
1716483600,67870,68163.703,67651.398,67690.797,2936.8889
1716487200,67690.797,67737.203,66781.297,67442.203,15207.55
1716490800,67442.203,67740.203,67141.102,67249.5,4438.6558
1716494400,67249.5,68067.203,66311.102,67850.297,16482.875
1716498000,67850.297,68436,67152.797,68031.5,14790.333
1716501600,68031.5,68033.102,67575.602,67717.703,2501.49
1716505200,67717.703,68027,67506,68000.297,2363.1089
1716508800,68000.297,68062.203,67664.602,67892.203,1946.347
1716512400,67892.203,67893.102,67691.797,67776.703,885.88599
1716516000,67776.703,68042.602,67655.797,68018,1132.623
1716519600,68018,68050,67805.797,67900,2540.8579
1716523200,67900,67944.703,67664.5,67735,1816.075
1716526800,67735,67735.102,67103,67324,3871.728
1716530400,67324,67616.602,66834.898,66910.703,4395.583
1716534000,66910.703,67351.898,66852.602,67176.703,4184.9282
1716537600,67176.703,67256.297,66628.203,67201.297,4485.855
1716541200,67201.297,67461.297,67048.102,67385.297,3049.822
1716544800,67385.297,67549.797,67327.602,67379.703,2008.802
1716548400,67379.703,67490,67285.398,67362.797,1541.745
1716552000,67362.797,67619,67354.703,67519.898,2205.4609
1716555600,67519.898,67636.797,66921.102,67082.297,4339.6958
1716559200,67082.297,68067,66984.602,67883.703,7564.8018
1716562800,67883.703,68464,67883.703,68339.797,7201.041
1716566400,68339.797,68521.203,67958.297,68405.297,4220.7568
1716570000,68405.297,68958.297,68405.203,68934.703,5632.606
1716573600,68934.703,69237.203,68839.703,68969.703,5470.041
1716577200,68969.703,69279.898,68750,69123.898,3272.186
1716580800,69123.898,69231.898,68840.203,68840.203,2119.166
1716584400,68840.203,69023.797,68814.297,68897.203,1335.321
1716588000,68897.203,68897.203,68682.398,68799.602,1430.636
1716591600,68799.602,68799.703,68530.398,68580,1265.939
1716595200,68580,68690,68524.398,68545.898,847.45203
1716598800,68545.898,68720.703,68545.898,68625.102,803.755
1716602400,68625.102,68866,68618.898,68830.898,1200.339
1716606000,68830.898,68921.5,68677.398,68779.297,973.612
1716609600,68779.297,68847,68703.703,68795.398,660.07397
1716613200,68795.398,68829.898,68717,68734.398,421.30801
1716616800,68734.398,68761.102,68626.5,68674.898,711.29401
1716620400,68674.898,68823.398,68647.797,68764,606.34802
1716624000,68764,69090,68764,68899.703,1461.676
1716627600,68899.703,69189.602,68865.102,69110.5,1650.9301
1716631200,69110.5,69479.898,69036.703,69396.102,2656.3201
1716634800,69396.102,69636.297,69092.203,69097.297,5381.6621
1716638400,69097.297,69307,69021.602,69129.797,2668.6089
1716642000,69129.797,69248.297,68870.5,69050,3037.9209
1716645600,69050,69110,68959.203,69026.102,1335.616
1716649200,69026.102,69233.5,68821.703,68950,1554.2271
1716652800,68950,69063.703,68833.102,68950,1537.193
1716656400,68950,69115.703,68926.602,69068.5,593.30103
1716660000,69068.5,69238.797,69068.5,69212.203,757.17603
1716663600,69212.203,69277.703,69117,69158.602,451.11899
1716667200,69158.602,69228.5,69065.102,69104.797,491.64999
1716670800,69104.797,69180,69054.203,69161.297,412.319
1716674400,69161.297,69185.102,69057,69137.703,441.939
1716678000,69137.703,69387.297,69137.703,69306.203,1060.754
1716681600,69306.203,69326,69157.203,69164.898,636.98401
1716685200,69164.898,69270,69161.5,69170.102,416.52399
1716688800,69170.102,69187.797,68808.797,68920.102,1851.744
1716692400,68920.102,69150.102,68883.898,69086.5,887.104
1716696000,69086.5,69086.602,68935.398,68994,488.302
1716699600,68994,69155,68932.898,69150.703,555.37598
1716703200,69150.703,69212.203,69047.898,69116,896.79303
1716706800,69116,69460,69103,69348.797,1628.447
1716710400,69348.797,69598.703,69092.297,69202.5,3266.147
1716714000,69202.5,69282.5,69001.102,69119.5,1838.944
1716717600,69119.5,69259.703,69116.102,69240.703,717.36401
1716721200,69240.703,69260.102,69043.297,69160,1481.6801
1716724800,69160,69172.102,68960.898,69009.898,1509.2371
1716728400,69009.898,69163.102,68966.203,69163.102,1086.77
1716732000,69163.102,69343.898,69050,69302.5,1469.777
1716735600,69302.5,69424.5,68647.297,68851.203,5090.3989
1716739200,68851.203,68985.703,68700,68818.297,2757.644
1716742800,68818.297,68920,68734,68804.102,1072.7581
1716746400,68804.102,68856.703,68720.797,68811,683.80103
